Title,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd
International Journal of Plastics Technology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12588,Springer Science+Business Media B.V.,0972-656X,0975-072X,2009-01-01,Present
Transactions of the Indian Institute of Metals,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12666,Springer Science+Business Media B.V.,0972-2815,0975-1645,2008-01-01,Present
International Journal of Advances in Engineering Sciences and Applied Mathematics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12572,Springer India,0975-0770,0975-5616,2009-01-01,Present
Journal of Obstetrics and Gynaecology of India,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13224,Springer India,0971-9202,0975-6434,2010-01-01,Present
Indian Journal of Pure and Applied Mathematics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13226,Springer Science+Business Media B.V.,0019-5588,0975-7465,2010-01-01,Present
Journal of Food Science and Technology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13197,Springer Science+Business Media B.V.,0022-1155,0975-8402,2010-01-01,Present
International Journal of Systems Assurance Engineering and Management,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13198,Springer Science+Business Media B.V.,0975-6809,0976-4348,2010-01-01,Present
Indian Journal of Surgical Oncology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13193,Springer India,0975-7651,0976-6952,2010-01-01,Present
The Nucleus,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13237,Springer Science+Business Media B.V.,0029-568X,0976-7975,2010-01-01,Present
"Sankhyā: The Indian Journal of Statistics, Series A (2008-)",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13171,Springer,0976-836X,0976-8378,2010-01-01,Present
"Sankhyā: The Indian Journal of Statistics, Series B (2008-)",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13571,Springer,0976-8386,0976-8394,2010-01-01,Present
Journal of The Indian Academy of Wood Science,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13196,Springer Science+Business Media B.V.,0972-172X,0976-8432,2010-01-01,Present
Journal of High Energy Physics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13130,Springer Science+Business Media B.V.,1126-6708,1029-8479,2010-01-01,2013-12-31
Systematic Biology,Oxford Journals (CRKN),https://academic.oup.com/sysbio/issue,Oxford University Press,1063-5157,1076-836X,1996-03-01,Present
Modern Judaism: A Journal of Jewish Ideas and Experience,Oxford Journals (CRKN),https://academic.oup.com/mj/issue,Oxford University Press,0276-1114,1086-3273,1996-01-01,Present
Nitric Oxide,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/nitric-oxide,Elsevier Inc NY Journals,1089-8603,1089-8611,1997-02-01,Present
Journal of molecular biology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-molecular-biology,Elsevier,0022-2836,1089-8638,1993-01-05,Present
Genomics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/genomics,Elsevier,0888-7543,1089-8646,1993-01-01,Present
Journal of Emergency Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-journal-of-emergency-medicine,Elsevier,0736-4679,1090-1280,1995-01-01,Present
Advances in applied mathematics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/advances-in-applied-mathematics,Elsevier,0196-8858,1090-2074,1980-03-01,Present
Advances in Mathematics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/advances-in-mathematics,Elsevier,0001-8708,1090-2082,1961-01-01,Present
Atomic Data and Nuclear Data Tables,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables,Elsevier Science Limited,0092-640X,1090-2090,1993-01-01,Present
Biochemical and biophysical research communications,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biochemical-and-biophysical-research-communications,Elsevier,0006-291X,1090-2104,1993-01-15,Present
Biological Control,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biological-control,Elsevier Science Limited,1049-9644,1090-2112,1993-03-01,Present
Bioorganic chemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/bioorganic-chemistry,Academic Press,0045-2068,1090-2120,1993-03-01,Present
"Brain, behavior, and immunity",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/brain-behavior-and-immunity,Elsevier Science Limited,0889-1591,1090-2139,1993-03-01,Present
Brain and cognition,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/brain-and-cognition,Elsevier Science Limited,0278-2626,1090-2147,1993-01-01,Present
Brain and Language,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/brain-and-language,Elsevier Science Limited,0093-934X,1090-2155,1993-01-01,Present
Cellular Immunology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/cellular-immunology,Elsevier,0008-8749,1090-2163,1993-01-01,Present
Clinical immunology and immunopathology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/clinical-immunology-and-immunopathology,Elsevier Science Limited,0090-1229,1090-2341,1993-01-01,1998-12-31
